ID	CURIS	CORPUS_NAME	TERMS QUERY
317	obo.MONDO_0004720	variola minor infection	"Variola minor" | "alastrim" | "cottonpox" | "milkpox" | "whitepox"	Variola minor OR alastrim OR whitepox
318	obo.MONDO_0004774	gonococcal iridocyclitis	"Neisseria gonorrhoeae caused iridocyclitis (disease)" | "Neisseria gonorrhoeae iridocyclitis (disease)"	gonococcal iridocyclitis
319	obo.MONDO_0004806	chronic eosinophilic pneumonia	"cryptogenic pulmonary eosinophilia" | "eosinophilic pneumonia, chronic"	chronic eosinophilic pneumonia OR cryptogenic pulmonary eosinophilia OR ("eosinophilic pneumonia" AND " chronic")
320	obo.MONDO_0005749	eosinophilic pneumonia	"eosinophilic pneumonia" | "pneumonia, eosinophilic"	eosinophilic pneumonia OR eosinophilic pneumonia OR ("pneumonia" AND " eosinophilic")
321	obo.MONDO_0004824	neonatal candidiasis	"neonatal Candida infection" | "neonatal Monilia infection" | "neonatal candida infection" | "neonatal moniliasis"	neonatal candidiasis
322	obo.MONDO_0004854	ophthalmia neonatorum	"gonococcal conjunctivitis (neonatorum)" | "neonatal conjunctivitis"	ophthalmia neonatorum OR neonatal conjunctivitis
323	obo.MONDO_0015455	gonococcal conjunctivitis	"conjunctivitis gonococcal" | "gonococcal ophthalmia neonatorum"	gonococcal conjunctivitis OR gonococcal ophthalmia neonatorum
324	obo.MONDO_0004917	internal hordeolum	"hordeolum of tarsal gland" | "internal hordeolum" | "tarsal gland hordeolum"	internal hordeolum OR internal hordeolum
325	obo.MONDO_0004924	chronic canaliculitis	"actinomycosis, chronic" | "chronic actinomycosis"	chronic canaliculitis
326	obo.MONDO_0005631	actinomycosis	"Actinomyces infection" | "Madura foot due to Actinomadura" | "actinomycotic madura foot" | "actinomycotic mycetema" | "actinomycotic mycetoma of foot"	actinomycosis OR Actinomyces infection OR Madura foot due to Actinomadura
327	obo.MONDO_0043885	eye infectious disorder	eye infection	eye infection
328	obo.MONDO_0005109	HIV infectious disease	"HIV infection" | "Human immunodeficiency virus caused disease or disorder" | "Human immunodeficiency virus disease or disorder" | "Human immunodeficiency virus infectious disease"	HIV infectious disease OR HIV infection
329	obo.MONDO_0005091	severe acute respiratory syndrome	"SARS" | "SARS coronavirus caused disease or disorder" | "SARS coronavirus disease or disorder" | "SARS coronavirus infectious disease" | "SARS-CoV infection" | "acute respiratory coronavirus infection"	severe acute respiratory syndrome OR SARS-CoV infection
330	obo.MONDO_0020753	Orthocoronavirinae infectious disease	coronavirus infectious disease	coronavirus infectious disease
331	obo.MONDO_0021682	viral sexually transmitted disease	viral sexually transmitted disease	viral sexually transmitted disease OR viral sexually transmitted disease
332	obo.MONDO_0005114	pneumococcal infection	"Streptococcus pneumoniae caused disease or disorder" | "Streptococcus pneumoniae disease or disorder" | "Streptococcus pneumoniae infectious disease" | "pneumococcal infection"	pneumococcal infection OR pneumococcal infection
333	obo.MONDO_0005116	Whipple disease	"Tropheryma whipplei caused disease or disorder" | "Tropheryma whipplei disease or disorder" | "Tropheryma whipplei infectious disease" | "Whipple disease" | "intestinal lipodystrophy" | "intestinal lipophagic granulomatosis" | "secondary non-tropical sprue"	Whipple disease OR Whipple disease OR intestinal lipodystrophy OR intestinal lipophagic granulomatosis
334	obo.MONDO_0005117	Aeromonas hydrophila infectious disease	"Aeromonas hydrophila caused disease or disorder" | "Aeromonas hydrophila disease or disorder"	
335	obo.MONDO_0005118	human granulocytic ehrlichiosis	"human anaplasmosis due to Anaplasma phagocytophilum" | "human granulocytic anaplasmosis" | "human granulocytic ehrlichiosis"	human granulocytic ehrlichiosis OR human granulocytic anaplasmosis OR human granulocytic ehrlichiosis
336	obo.MONDO_0025303	anaplasmosis	"anaplasma caused disease or disorder" | "anaplasma disease or disorder" | "anaplasma infectious disease"	anaplasmosis
337	obo.MONDO_0006923	Bacillaceae infectious disease	"Bacillaceae caused disease or disorder" | "Bacillaceae disease or disorder"	
338	obo.MONDO_0005120	Drosophila C virus infection	"Drosophila C virus caused disease or disorder" | "Drosophila C virus disease or disorder" | "Drosophila C virus infectious disease"	Drosophila C virus infection
339	obo.MONDO_0005121	Enterococcus faecalis infection	"Enterococcus faecalis caused disease or disorder" | "Enterococcus faecalis disease or disorder" | "Enterococcus faecalis infectious disease"	Enterococcus faecalis infection
340	obo.MONDO_0005122	Pectobacterium carotovorum infection	"Pectobacterium caused disease or disorder" | "Pectobacterium disease or disorder" | "Pectobacterium infectious disease"	
341	obo.MONDO_0005125	borderline leprosy	"Midborderline leprosy" | "borderline leprosy [group B]" | "borderline or dimorphous leprosy"	borderline leprosy OR Midborderline leprosy
342	obo.MONDO_0005126	tuberculoid leprosy	"smooth leprosy" | "tuberculoid leprosy [type T]" | "type T leprosy"	tuberculoid leprosy
343	obo.MONDO_0005127	lepromatous leprosy	"lepromatous leprosy [type L]" | "type L leprosy"	lepromatous leprosy
344	obo.MONDO_0005141	Pseudomonas infection	"Pseudomonas caused disease or disorder" | "Pseudomonas disease or disorder" | "Pseudomonas infectious disease"	Pseudomonas infection
345	obo.MONDO_0040732	Pseudomonas aeruginosa infectious disease	infection due to Pseudomonas aeruginosa	infection due to Pseudomonas aeruginosa
346	obo.MONDO_0005161	human papilloma virus infection	"Human Papillomavirus infection" | "Human papilloma Virus infection" | "Human papillomavirus caused disease or disorder" | "Human papillomavirus disease or disorder" | "Human papillomavirus infectious disease"	human papilloma virus infection OR Human Papillomavirus infection OR Human papilloma Virus infection
347	obo.MONDO_0005163	simian immunodeficiency virus infection	"Simian immunodeficiency virus caused disease or disorder" | "Simian immunodeficiency virus disease or disorder" | "Simian immunodeficiency virus infectious disease"	simian immunodeficiency virus infection
348	obo.MONDO_0005187	human herpesvirus 8 infection	"HHV8 infection" | "Human Herpes Virus 8 infection" | "Human Herpesvirus 8 infection"	human herpesvirus 8 infection OR HHV8 infection OR Human Herpes Virus 8 infection OR Human Herpesvirus 8 infection
349	obo.MONDO_0005188	iatrogenic Kaposi's sarcoma	"iatrogenic Kaposi sarcoma" | "iatrogenic Kaposi's sarcoma"	iatrogenic Kaposi's sarcoma OR iatrogenic Kaposi sarcoma OR iatrogenic Kaposi's sarcoma
350	obo.MONDO_0043544	nosocomial infection	"Healthcare-associated infection" | "hospital-acquired infection" | "hospital-onset infection" | "nosocomial infection" | "nosocomial infectious disease"	nosocomial infection OR Healthcare-associated infection OR hospital-acquired infection OR hospital-onset infection OR nosocomial infection OR nosocomial infectious disease
351	obo.MONDO_0005194	Rotavirus infection	"Rotavirus caused disease or disorder" | "Rotavirus disease or disorder" | "Rotavirus infectious disease"	Rotavirus infection
352	obo.MONDO_0005230	cellulitis	"cellulitis" | "cellulitis (disease)"	cellulitis OR cellulitis
353	obo.MONDO_0005231	hepatitis C virus infection	"Hepatitis C virus caused hepatitis" | "Hepatitis C virus hepatitis" | "NANBH" | "hepatitis C infection" | "hepatitis Nona nonB" | "hepatitis type C" | "non-A, non-B Hepatitis" | "viral hepatitis C"	hepatitis C virus infection OR Hepatitis C virus hepatitis OR hepatitis C infection OR hepatitis Nona nonB OR hepatitis type C OR viral hepatitis C
354	obo.MONDO_0005297	urethritis	"Nongonococcal urethritis" | "inflammation of urethra" | "non-gonococcal urethritis" | "urethra inflammation" | "urethritis" | "urethritis (disease)"	urethritis OR Nongonococcal urethritis OR inflammation of urethra OR non-gonococcal urethritis OR urethritis
355	obo.MONDO_0006706	Bifidobacteriales infectious disease	"Bifidobacteriales caused disease or disorder" | "Bifidobacteriales disease or disorder"	
356	obo.MONDO_0023557	infective vaginitis	vaginal infection	infective vaginitis OR vaginal infection
357	obo.MONDO_0021681	sexually transmitted disease	"STD" | "VD" | "VD, venereal disease" | "disease (VD), venereal" | "sexually Transmitted disorder" | "sexually transmitted disease" | "venereal disease (VD)"	sexually transmitted disease OR sexually Transmitted disorder OR sexually transmitted disease
358	obo.MONDO_0005344	hepatitis B virus infection	"Hepatitis B" | "Hepatitis B infection" | "Hepatitis B virus caused hepatitis" | "Hepatitis B virus hepatitis" | "hepatitis B infection" | "hepatitis type B" | "viral Hepatitis B"	hepatitis B virus infection OR Hepatitis B OR Hepatitis B infection OR Hepatitis B virus hepatitis OR hepatitis B infection OR hepatitis type B OR viral Hepatitis B
359	obo.MONDO_0005786	Hepadnaviridae infectious disease	"Hepadnaviridae caused disease or disorder" | "Hepadnaviridae disease or disorder"	
360	obo.MONDO_0005354	chronic hepatitis C virus infection	"chronic Hepatitis C" | "hepatitis C infection, chronic" | "hepatitis C, chronic"	chronic hepatitis C virus infection OR chronic Hepatitis C OR ("hepatitis C infection" AND " chronic") OR ("hepatitis C" AND " chronic")
361	obo.MONDO_0005357	Creutzfeldt Jacob disease	"CJD" | "CJD (Creutzfeldt Jakob disease)" | "Creutzfeldt Jacob syndrome" | "Creutzfeldt Jakob disease" | "Creutzfeldt-Jacob disease" | "Jakob-Creutzfeldt disease" | "Subacute spongiform encephalopathy" | "classic Creutzfeldt-Jakob disease" | "transmissible virus dementia"	Creutzfeldt Jacob disease OR Creutzfeldt Jacob syndrome OR Creutzfeldt Jakob disease OR Creutzfeldt-Jacob disease OR Jakob-Creutzfeldt disease OR Subacute spongiform encephalopathy OR classic Creutzfeldt-Jakob disease OR transmissible virus dementia
362	obo.MONDO_0018087	viral hemorrhagic fever	"VHF" | "VHFs" | "haemorrhagic fevers, viral" | "viral haemorrhagic fever"	viral hemorrhagic fever OR ("haemorrhagic fevers" AND " viral") OR viral haemorrhagic fever
363	obo.MONDO_0005366	chronic hepatitis B virus infection	"chronic Hepatitis B" | "hepatitis B infection, chronic" | "hepatitis B, chronic"	chronic hepatitis B virus infection OR chronic Hepatitis B OR ("hepatitis B infection" AND " chronic") OR ("hepatitis B" AND " chronic")
364	obo.MONDO_0005373	meningococcal infection	Neisseria meningitidis infection	meningococcal infection OR Neisseria meningitidis infection
365	obo.MONDO_0005445	visceral leishmaniasis	"infection by visceral leishmaniasis" | "kala-azar" | "viscus leishmaniasis"	visceral leishmaniasis OR kala-azar
366	obo.MONDO_0005446	cutaneous leishmaniasis	"Asian desert cutaneous leishmaniasis" | "leproid leishmaniasis" | "zone of skin leishmaniasis"	cutaneous leishmaniasis
367	obo.MONDO_0005459	human African trypanosomiasis	"Africam sleeping sickness" | "African sleeping sickness" | "African trypanosomiasis" | "sleeping sickness"	human African trypanosomiasis OR African sleeping sickness OR African trypanosomiasis OR sleeping sickness
368	obo.MONDO_0005460	swine influenza	"H1N1 Influenza" | "H1N1 Virus infection" | "H1N1 flu" | "Influenza A (H1N1)" | "Influenza A (H1N1) Virus infection" | "Swine influenza virus caused influenza" | "Swine influenza virus influenza" | "swine flu"	swine influenza OR H1N1 Influenza OR H1N1 Virus infection OR H1N1 flu OR swine flu
369	obo.MONDO_0005812	influenza	"Influenza with other manifestations" | "flu" | "influenza infection" | "influenza with non-respiratory manifestation" | "orthomyxoviridae caused disease or disorder" | "orthomyxoviridae disease or disorder" | "orthomyxoviridae infectious disease"	influenza OR influenza infection
370	obo.MONDO_0005498	botulism	"botulism" | "botulism poisoning" | "infection due to Clostridium botulinum"	botulism OR botulism OR botulism poisoning
371	obo.MONDO_0018093	arbovirus fever	arbovirus fever	
372	obo.MONDO_0005504	diphtheria	Corynebacterium infection	diphtheria OR Corynebacterium infection
373	obo.MONDO_0024313	staphylococcal infection	staphylococcal infection	staphylococcal infection OR staphylococcal infection
374	obo.MONDO_0005608	varicella zoster infection	"Varicella-zoster Virus infection" | "varicella zoster infection"	varicella zoster infection OR Varicella-zoster Virus infection OR varicella zoster infection
375	obo.MONDO_0005609	herpes zoster	"Zoster" | "herpes Zoster" | "herpes zona" | "shingles"	herpes zoster OR Zoster OR herpes Zoster OR herpes zona OR shingles
376	obo.MONDO_0100330	disease arising from reactivation of latent virus	latent infection	latent infection
377	obo.MONDO_0005619	typhoid fever	"typhoid" | "typhoid fever" | "typhoidal salmonellosis"	typhoid fever OR typhoid OR typhoid fever OR typhoidal salmonellosis
378	obo.MONDO_0005625	cerebral malaria	malarial encephalitis	cerebral malaria OR malarial encephalitis
379	obo.MONDO_0005629	Acanthamoeba keratitis	"Acanthamoeba caused keratitis" | "keratitis, Acanthamoeba"	Acanthamoeba keratitis OR ("keratitis" AND " Acanthamoeba")
380	obo.MONDO_0024315	parasitic endophthalmitis	parasitic endophthalmitis	
381	obo.MONDO_0006636	Actinobacillus infectious disease	"Actinobacillus caused disease or disorder" | "Actinobacillus disease or disorder"	
382	obo.MONDO_0006921	Actinomycetales infectious disease	"actinomycetales caused disease or disorder" | "actinomycetales disease or disorder" | "actinomycetales infection" | "actinomycetales infections" | "actinomycete infection" | "actinomycete infections" | "actinomycotic infection" | "actinomycotic infectious disease" | "infection, actinomycetales" | "infection, actinomycete" | "infections, actinomycetales" | "infections, actinomycete"	actinomycetales infection OR actinomycetales infections OR actinomycete infection OR actinomycete infections OR actinomycotic infection OR ("infection" AND " actinomycetales") OR ("infection" AND " actinomycete") OR ("infections" AND " actinomycetales") OR ("infections" AND " actinomycete")
383	obo.MONDO_0005634	acute hemorrhagic conjunctivitis	"Apollo disease" | "epidemic hemorrhagic conjunctivitis"	acute hemorrhagic conjunctivitis OR Apollo disease OR epidemic hemorrhagic conjunctivitis
384	obo.MONDO_0005641	aleutian mink disease	"Aleutian disease" | "Aleutian mink disease virus caused disease or disorder" | "Aleutian mink disease virus disease or disorder" | "Aleutian mink disease virus infectious disease"	aleutian mink disease OR Aleutian disease
385	obo.MONDO_0025371	Parvoviridae infectious disease	"Parvoviridae caused disease or disorder" | "Parvoviridae disease or disorder" | "disease due to Parvoviridae"	
386	obo.MONDO_0005985	Togaviridae infectious disease	"Togaviridae caused disease or disorder" | "Togaviridae disease or disorder"	
387	obo.MONDO_0005644	amebiasis	"amoebiasis" | "entamoebiasis"	amebiasis OR amoebiasis OR entamoebiasis
388	obo.MONDO_0005645	ancylostomiasis	"Ancylostoma caused disease or disorder" | "Ancylostoma disease or disorder" | "Ancylostoma infectious disease" | "hookworm infection"	ancylostomiasis OR hookworm infection
389	obo.MONDO_0005647	anogenital human papillomavirus infection	"anogenital Human Papillomavirus infection" | "anogenital Human papilloma Virus infection" | "anogenital Human papilloma Virus infectious disease" | "anogenital Warts" | "anogenital venereal wart" | "genital Warts" | "genital wart virus infectious disease" | "venereal wart"	anogenital human papillomavirus infection OR anogenital Human Papillomavirus infection OR anogenital Human papilloma Virus infection OR anogenital Warts OR genital Warts OR venereal wart
390	obo.MONDO_0005651	arenavirus hemorrhagic fever	arenaviral hemorrhagic fever	arenavirus hemorrhagic fever OR arenaviral hemorrhagic fever
391	obo.MONDO_0005652	Arterivirus infectious disease	"Arterivirus caused disease or disorder" | "Arterivirus disease or disorder"	
392	obo.MONDO_0005876	Nidovirales infectious disease	"Nidovirales caused disease or disorder" | "Nidovirales disease or disorder"	
393	obo.MONDO_0005654	ascariasis	"Ascaris lumbricoides caused disease or disorder" | "Ascaris lumbricoides disease or disorder" | "Ascaris lumbricoides infectious disease" | "ascariasis - roundworm"	ascariasis
394	obo.MONDO_0005655	ascaridiasis	"Ascaridia caused disease or disorder" | "Ascaridia disease or disorder" | "Ascaridia infectious disease" | "infection by Ascaridia"	ascaridiasis OR infection by Ascaridia
395	obo.MONDO_0005661	babesiosis	"Babesia caused disease or disorder" | "Babesia disease or disorder" | "Babesia infectious disease" | "babesiasis" | "infection by Babesia" | "piroplasmosis"	babesiosis OR babesiasis OR infection by Babesia OR piroplasmosis
396	obo.MONDO_0005662	balantidiasis	"balantidiosis" | "ciliary dysentery"	balantidiasis OR balantidiosis
397	obo.MONDO_0005704	Ciliophora infectious disease	"Ciliophora caused disease or disorder" | "Ciliophora disease or disorder"	
398	obo.MONDO_0006924	Bartonellaceae infectious disease	"Bartonellaceae caused disease or disorder" | "Bartonellaceae disease or disorder"	
399	obo.MONDO_0005670	blackwater fever	"Black water fever" | "blackwater fever" | "hemoglobinuric, malaria" | "malarial hemoglobinuria"	blackwater fever OR Black water fever OR blackwater fever OR malarial hemoglobinuria
400	obo.MONDO_0005671	Blastocystis infectious disease	Blastocystis infection	Blastocystis infection
401	obo.MONDO_0005672	blastomycosis	"Blastomyces dermatitidis caused disease or disorder" | "Blastomyces dermatitidis disease or disorder" | "Blastomyces dermatitidis infection" | "Blastomyces dermatitidis infectious disease" | "Chicago disease" | "Gilchrist's disease" | "North American blastomycosis" | "blastomycotic infection" | "infection by Blastomyces dermatitidis"	blastomycosis OR Blastomyces dermatitidis infection OR Chicago disease OR Gilchrist's disease OR North American blastomycosis OR blastomycotic infection OR infection by Blastomyces dermatitidis
402	obo.MONDO_0005676	borna disease	enzootic encephalomyelitis	borna disease OR enzootic encephalomyelitis
403	obo.MONDO_0005680	Brill-Zinsser disease	"Brill Zinsser disease" | "Brill disease" | "Brill's disease" | "recrudescent typhus"	Brill-Zinsser disease OR Brill Zinsser disease OR Brill disease OR Brill's disease OR recrudescent typhus
404	obo.MONDO_0019362	epidemic louse-borne typhus	"epidemic louse-borne typhus" | "epidemic typhus" | "epidemic typhus fever" | "sylvatic typhus"	epidemic louse-borne typhus OR epidemic louse-borne typhus OR epidemic typhus OR epidemic typhus fever
405	obo.MONDO_0005682	bronchopneumonia	"bronchial pneumonia" | "chest infection - bronchopneumonia" | "chest infection - unspecified bronchopneumonia" | "lobular pneumonia"	bronchopneumonia OR bronchial pneumonia OR lobular pneumonia
406	obo.MONDO_0005684	bulbar polio	"bulbar polio" | "bulbar poliomyelitis"	bulbar polio OR bulbar polio OR bulbar poliomyelitis
407	obo.MONDO_0005914	Picornaviridae infectious disease	Picornaviridae infection	Picornaviridae infection
408	obo.MONDO_0005692	cat-scratch disease	"Cat-scratch fever" | "Foshay-Mollaret Cat scratch fever" | "bartonellosis due to Bartonella henselae infection" | "benign lymphoreticulosis" | "cat scratch fever" | "debre's syndrome" | "debre-Mollaret syndrome"	cat-scratch disease OR Cat-scratch fever OR benign lymphoreticulosis OR cat scratch fever
409	obo.MONDO_0005695	central nervous system AIDS arteritis	"AIDS associated cerebral aneurysmal arteriopathy" | "AIDS-associated cerebral aneurysmal arteriopathy" | "CNS Vasculitides, HIV-1-associated" | "CNS Vasculitides, HIV-associated" | "CNS vasculitis, HIV associated" | "CNS vasculitis, HIV-1-associated" | "CNS vasculitis, HIV-associated" | "HIV 1 associated CNS vasculitis" | "HIV associated vasculitis of the central nervous system" | "HIV-1-associated CNS Vasculitides" | "HIV-1-associated CNS vasculitis" | "HIV-associated CNS Vasculitides" | "HIV-associated CNS vasculitis" | "HIV-associated vasculitis of the central nervous system" | "Vasculitides, HIV-1-associated CNS" | "Vasculitides, HIV-associated CNS" | "central nervous system AIDS arteritis" | "cerebral aneurysmal arteriopathy, AIDS associated" | "cerebral aneurysmal arteriopathy, AIDS-associated" | "vasculitis of the central nervous system, HIV associated" | "vasculitis of the central nervous system, HIV-associated" | "vasculitis, HIV-1-associated CNS" | "vasculitis, HIV-associated CNS"	central nervous system AIDS arteritis OR HIV 1 associated CNS vasculitis OR HIV-1-associated CNS vasculitis OR central nervous system AIDS arteritis
410	obo.MONDO_0005696	central nervous system tuberculosis	"central nervous system tuberculosis" | "intracranial tuberculoma" | "tuberculoma of brain" | "tuberculosis of meninges and central nervous system" | "tuberculous abscess of brain"	central nervous system tuberculosis OR central nervous system tuberculosis OR intracranial tuberculoma OR tuberculoma of brain
411	obo.MONDO_0005697	cerebral toxoplasmosis	Toxoplasma encephalitis	cerebral toxoplasmosis OR Toxoplasma encephalitis
412	obo.MONDO_0005989	toxoplasmosis	"Toxoplasma gondii caused disease or disorder" | "Toxoplasma gondii disease or disorder" | "Toxoplasma gondii infectious disease" | "disseminated toxoplasmosis"	toxoplasmosis OR disseminated toxoplasmosis
413	obo.MONDO_0005700	chickenpox	"Varicella" | "chicken pox" | "chicken pox infection" | "chickenpox" | "varicella"	chickenpox OR Varicella OR chicken pox OR chicken pox infection OR chickenpox OR varicella
414	obo.MONDO_0021697	chlamydia infectious disease	"Chlamydia caused disease or disorder" | "Chlamydia disease or disorder" | "Chlamydia infectious disease" | "Chlamydophila caused disease or disorder" | "Chlamydophila disease or disorder" | "chlamydia infectious disease"	
415	obo.MONDO_0005705	clonorchiasis	Oriental liver fluke disease	clonorchiasis OR Oriental liver fluke disease
416	obo.MONDO_0005706	coccidioidomycosis	"California disease" | "Coccidioides immitis caused disease or disorder" | "Coccidioides immitis disease or disorder" | "Coccidioides immitis infectious disease" | "Coccidioides infection" | "San Joaquin valley fever" | "Valley fever" | "desert fever" | "desert rheumatism" | "primary extrapulmonary coccidioidomycosis"	coccidioidomycosis OR California disease OR Coccidioides infection OR San Joaquin valley fever OR Valley fever OR desert fever OR desert rheumatism
417	obo.MONDO_0005707	coccidiosis	coccidiosis (& [intestinal])	coccidiosis
418	obo.MONDO_0005708	Colorado tick fever	"American mountain fever" | "Colorado tick encephalitis" | "Colorado tick fever virus caused disease or disorder" | "Colorado tick fever virus disease or disorder" | "Colorado tick fever virus infectious disease" | "Colorado tick-borne disease" | "Mountain fever" | "Mountain tick fever" | "Tick fever, American mountain"	Colorado tick fever OR Colorado tick-borne disease OR Mountain fever OR Mountain tick fever
419	obo.MONDO_0005715	congenital toxoplasmosis	"Toxoplasma embryofetopathy" | "Toxoplasma embryopathy" | "congenital toxoplasmosis" | "mother-to-child transmission of toxoplasmosis" | "toxoplasmosis - congen." | "toxoplasmosis, congenital"	congenital toxoplasmosis OR congenital toxoplasmosis OR ("toxoplasmosis" AND " congenital")
420	obo.MONDO_0005717	contagious pustular dermatitis	"Orf" | "ecthyma contagiosum" | "ecthyma, Contagious" | "scabby mouth" | "sheep pox" | "thistle disease"	contagious pustular dermatitis OR ecthyma contagiosum OR scabby mouth OR sheep pox
421	obo.MONDO_0005720	cowpox	yaba	cowpox
422	obo.MONDO_0005747	enterovirus infectious disease	"Enterovirus caused disease or disorder" | "Enterovirus disease or disorder" | "Enterovirus infectious disease" | "disease due to enterovirus" | "enterovirus infectious disease"	disease due to enterovirus
423	obo.MONDO_0005722	croup	"acute laryngotracheobronchitis" | "acute obstructive laryngitis" | "croup syndrome"	acute laryngotracheobronchitis OR acute obstructive laryngitis OR croup syndrome
424	obo.MONDO_0005723	Cryptococcal meningitis	"Cryptococcus neoformans caused infectious meningitis" | "Cryptococcus neoformans infectious meningitis"	Cryptococcal meningitis
425	obo.MONDO_0005724	cryptococcosis	"Busse-Buschke's disease" | "Cryptococcal infection" | "Cryptococcus neoformans caused disease or disorder" | "Cryptococcus neoformans disease or disorder" | "Cryptococcus neoformans infectious disease" | "European cryptococcosis" | "torula" | "torulosis"	cryptococcosis OR Busse-Buschke's disease OR Cryptococcal infection OR torula OR torulosis
426	obo.MONDO_0005725	cyclosporiasis	"Cyclospora caused disease or disorder" | "Cyclospora cayetanensis caused disease or disorder" | "Cyclospora cayetanensis disease or disorder" | "Cyclospora cayetanensis infectious disease" | "Cyclospora disease or disorder" | "Cyclospora infectious disease" | "cyclosporosis" | "infection of intestine caused by Cyclospora cayetanensis" | "intestinal infection caused by Cyclospora cayetanensis"	cyclosporiasis OR cyclosporosis
427	obo.MONDO_0005729	dicrocoeliasis	"Dicrocoelium caused disease or disorder" | "Dicrocoelium disease or disorder" | "Dicrocoelium infectious disease" | "disease due to Dicrocoeliidae"	dicrocoeliasis
428	obo.MONDO_0005730	Dictyocaulus infectious disease	"Dictyocaulus caused disease or disorder" | "Dictyocaulus disease or disorder"	
429	obo.MONDO_0005994	trichostrongyloidiasis	"Trichostrongyloidea caused disease or disorder" | "Trichostrongyloidea disease or disorder" | "Trichostrongyloidea infectious disease"	trichostrongyloidiasis
430	obo.MONDO_0005731	dipetalonemiasis	"Dipetalonema infection" | "Dipetalonema infections" | "Dipetalonema infectious disease" | "Mansonella perstans caused disease or disorder" | "Mansonella perstans disease or disorder" | "Mansonella perstans infectious disease" | "dipetalonemiasis" | "infection by Dipetalonema" | "infection by Dipetalonema perstans" | "infection by Dipetalonema perstans (disorder) [ambiguous]"	dipetalonemiasis OR Dipetalonema infections OR dipetalonemiasis
431	obo.MONDO_0016075	filariasis	disease due to superfamily Filarioidea	filariasis
432	obo.MONDO_0005736	eastern equine encephalitis	"Eastern equine encephalomyelitis" | "Neuroinvasive Eastern equine encephalitis virus infection"	eastern equine encephalitis OR Eastern equine encephalomyelitis
433	obo.MONDO_0005737	Ebola hemorrhagic fever	"EHF" | "Ebola" | "Ebola fever" | "Ebola virus disease" | "Ebolavirus caused disease or disorder" | "Ebolavirus disease or disorder" | "Ebolavirus infectious disease"	Ebola hemorrhagic fever OR Ebola fever OR Ebola virus disease
434	obo.MONDO_0005762	Filoviridae infectious disease	"Filoviridae caused disease or disorder" | "Filoviridae disease or disorder"	
435	obo.MONDO_0005740	Echovirus infectious disease	"Echovirus caused disease or disorder" | "Echovirus disease or disorder"	
436	obo.MONDO_0005743	encephalitozoonosis	infection by Encephalitozoon	encephalitozoonosis OR infection by Encephalitozoon
437	obo.MONDO_0005846	microsporidiosis	"Microsporidia caused disease or disorder" | "Microsporidia disease or disorder" | "Microsporidia infection" | "Microsporidia infectious disease" | "infection by Microspora" | "infection by Microsporea" | "infection by Microsporida"	microsporidiosis OR Microsporidia infection
438	obo.MONDO_0005871	Nematoda infectious disease	"Nematoda caused disease or disorder" | "Nematoda disease or disorder" | "disease due to nematoda"	
439	obo.MONDO_0005746	enterobiasis	"Enterobius vermicularis caused disease or disorder" | "Enterobius vermicularis disease or disorder" | "Enterobius vermicularis infectious disease" | "Oxyuris vermicularis infection" | "threadworm infection"	enterobiasis OR Oxyuris vermicularis infection OR threadworm infection
440	obo.MONDO_0005751	epidemic pleurodynia	"Bamble disease" | "Bornholm disease" | "devil's grip" | "epidemic myalgia" | "epidemic pleurisy" | "epidemic, myositis"	epidemic pleurodynia OR Bornholm disease OR devil's grip OR epidemic myalgia
441	obo.MONDO_0005752	epidural abscess	"abscess epidural" | "extradural intraspinal abscess" | "intraspinal epidural abscess" | "intraspinal extradural abscess" | "spinal epidural abscess" | "spinal epidural abscess (disorder)" | "spinal extradural abscess"	epidural abscess OR abscess epidural OR intraspinal extradural abscess OR spinal epidural abscess OR spinal extradural abscess
442	obo.MONDO_0005757	eumycotic mycetoma	"Maduromycosis, mycotic" | "eumycetoma" | "maduromycosis" | "mycotic mycetoma"	eumycotic mycetoma OR eumycetoma OR maduromycosis OR mycotic mycetoma
443	obo.MONDO_0005761	filarial elephantiasis	"Bancroftian elephantiasis" | "Bancroftian filarial chyluria" | "elephantiasis of eyelid" | "eyelid elephantiasis"	filarial elephantiasis OR Bancroftian elephantiasis OR elephantiasis of eyelid
444	obo.MONDO_0005767	gas gangrene	"gas bacillus infection" | "gas gangrene" | "myonecrosis"	gas gangrene OR gas bacillus infection OR gas gangrene OR myonecrosis
445	obo.MONDO_0005769	geniculate herpes zoster	"Herpes Zoster Oticus" | "Herpes zoster auricularis" | "Ramsay Hunt syndrome" | "Ramsey Hunt syndrome" | "facial nerve palsy due to VZV" | "facial nerve palsy due to herpes zoster infection" | "facial nerve paralysis due to VZV" | "geniculate neuralgia" | "herpetic geniculate ganglionitis" | "nervus intermedius neuralgia"	geniculate herpes zoster OR Herpes Zoster Oticus OR Herpes zoster auricularis OR Ramsay Hunt syndrome OR Ramsey Hunt syndrome OR geniculate neuralgia OR nervus intermedius neuralgia
446	obo.MONDO_0005770	genital herpes	"genital herpes simplex" | "herpes genitalia" | "herpes genitalis" | "venereal herpes" | "virus-genital herpes"	genital herpes OR genital herpes simplex OR herpes genitalia OR herpes genitalis OR venereal herpes OR virus-genital herpes
447	obo.MONDO_0005774	glanders	"Burkholderia mallei caused disease or disorder" | "Burkholderia mallei disease or disorder" | "Burkholderia mallei infectious disease" | "farcy pipes" | "infection due to Pseudomonas mallei"	glanders
